email;password;client_id;client_secret;scope;redirect_uri
mis90@test.com;A123456789090;cdcd57f0-e260-469d-bae3-83f49f048d91;e3dd2410dabb8b29781b6e309f58fca2;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test90.com
mis91@test.com;A123456789091;931acddc-25cd-4739-a2b2-fe2cade19887;38f9b39e4f13ab90e06c3b26a6ec7ea9;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test91.com
mis92@test.com;A123456789092;acff33c5-e227-469f-abf7-508418ee1afb;817e9cf724a00dbeda85aeba9b6bb2ed;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test92.com
mis93@test.com;A123456789093;02dd0ab2-2091-4a17-8ce8-9f2385374463;409501b6e1221138b088146317105faa;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test93.com
mis94@test.com;A123456789094;82443411-f70f-423d-9eed-685aab336bd1;89edb6b3982765aa735b1aea38fc8bbe;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test94.com
mis95@test.com;A123456789095;024752f9-2eff-4003-a933-cba346872a50;b89ba417718b81f0597b7208432f6e51;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test95.com
mis96@test.com;A123456789096;7dde2244-c686-44ea-b0ff-b4a30d581280;9753abea7e5dc30eaf3ef1803150d0cf;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test96.com
mis97@test.com;A123456789097;94f69f19-4742-497a-8d74-150753594427;129ab798930915800345c78dcc7b888d;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test97.com
mis98@test.com;A123456789098;0dd51af8-5df8-4428-9993-606a92810126;1f8ff66645f8e2df41620f3275b462f8;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test98.com
mis99@test.com;A123456789099;0963ab67-17bb-4383-aa87-c559a88e1d0e;ef4827a5d5fd779af6977f0baee3ec34;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test99.com
mis100@test.com;A1234567890100;3e1481f8-76ce-46d5-a4ed-bdaf10cfb169;f0ee1b0495c800013ee9085f077f5d3a;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test100.com
mis101@test.com;A1234567890101;5a99e254-d513-48d6-b5b2-1b3a1fecb1ac;66ab14fbb573e5693d3103ec4b27434e;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test101.com
mis102@test.com;A1234567890102;61cb3e06-bab7-49f3-8a8d-95255d0740aa;ad08de287b5582f80e2df03a1f1d5955;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test102.com
mis103@test.com;A1234567890103;90af9270-c601-46e3-87d6-042203892b1b;6b6d4dcf401a4514f705d638c92f160f;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test103.com
mis104@test.com;A1234567890104;4a3d21c7-2839-4c91-856a-bba2ef6c9ab5;fceddfeb26bfa92e714286df9fa55c12;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test104.com
mis105@test.com;A1234567890105;7e46690a-6799-4e82-83ac-de7a0d9e38bf;4a682196d909c644b44d68d7ea2aa342;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test105.com
mis106@test.com;A1234567890106;593ecfa3-eb31-4678-a303-53f5f83aa3e0;4d978d00ea4c4522a21c38f2b0b1dc31;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test106.com
mis107@test.com;A1234567890107;48a9a8e7-88aa-4a03-af96-5e002e7d6df7;df10225461e73901a8ca3e32cb763925;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test107.com
mis108@test.com;A1234567890108;61ea4b56-fd21-4cdf-b3f6-c573417f8d4e;f5005ebfed1e8928b3f138197cc5dff2;read employee:read employee_request:approve employee_request:reject employee_request:read legal_entity:read medication_dispense:process medication_dispense:read medication_dispense:write medication_dispense:reject medication_request:details;https://test108.com
